Name,Code,Price,24hr Hour volume,Market Cap
Bitcoin,BTC,"$17,461.05",$331.45 B,$20.54 B
Ethereum,ETH,"$1,299.21",$156.29 B,$6.25 B
Tether,USDT,$1.02,$65.71 B,$25.96 B
BNB,BNB,$294.19,$46.38 B,$650.09 M
USD Coin,USDC,$1.00,$42.79 B,$2.17 B
Binance USD,BUSD,$1.00,$22.08 B,$5.76 B
XRP,XRP,$0.3986,$19.74 B,$762.7 M
Dogecoin,DOGE,$0.09943,$13.01 B,$488.29 M
Cardano,ADA,$0.3186,$10.82 B,$161.46 M
Polygon,MATIC,$0.9365,$8.07 B,$267.77 M
Polkadot,DOT,$5.50,$6.21 B,$167.77 M
Dai,DAI,$1.02,$5.88 B,$156.15 M
Litecoin,LTC,$79.52,$5.59 B,$615.07 M
Wrapped TRON,WTRX,$0.05429,$5.52 B,"$536,695"
HEX,HEX,$0.02938,$5.09 B,$3.42 M
Shiba Inu,SHIB,$0.000009434,$5.08 B,$93.25 M
TRON,TRX,$0.05449,$5.02 B,$165.07 M
Solana,SOL,$14.32,$5.01 B,$192.86 M
Uniswap,UNI,$6.30,$4.68 B,$75.58 M
Lido stETH,stETH,"$1,240.32",$4.33 B,$9.56 M
Avalanche,AVAX,$13.71,$4.17 B,$119.15 M
UNUS SED LEO,LEO,$3.80,$3.62 B,$1.21 M
Chainlink,LINK,$7.08,$3.55 B,$201.17 M
Wrapped Bitcoin,WBTC,"$17,435.50",$3.44 B,$86.07 M
Cosmos,ATOM,$10.10,$2.82 B,$100.62 M
Monero,XMR,$147.17,$2.68 B,$75.17 M
Ethereum Classic,ETC,$19.47,$2.65 B,$95.57 M
Toncoin,TON,$1.82,$2.22 B,$25.05 M
Stellar,XLM,$0.08713,$2.2 B,$39.82 M
Bitcoin Cash,BCH,$114.63,$2.16 B,$148.42 M
Cronos,CRO,$0.0653,$1.63 B,$15.34 M
Algorand,ALGO,$0.2271,$1.59 B,$50.55 M
Filecoin,FIL,$4.49,$1.48 B,$89.15 M
Quant,QNT,$125.84,$1.48 B,$29.07 M
NEAR Protocol,NEAR,$1.73,$1.43 B,$70.78 M
ApeCoin,APE,$3.99,$1.42 B,$130.24 M
VeChain,VET,$0.0197,$1.38 B,$26.88 M
OKB,OKB,$20.79,$1.25 B,$12.71 M
Hedera,HBAR,$0.05072,$1.19 B,$12.26 M
Internet Computer,ICP,$4.37,$1.17 B,$22.23 M
EOS,EOS,$1.05,$1.1 B,$166.04 M
Wrapped BNB,WBNB,$289.61,$1.1 B,$62.39 M
Elrond,EGLD,$45.98,$1.08 B,$22.98 M
Trust Wallet Token,TWT,$2.57,$1.07 B,$137.17 M
Flow,FLOW,$1.06,$1.07 B,$42.77 M
Luna Classic,LUNC,$0.000195,$1.06 B,$145.66 M
Frax,FRAX,$1.00,$1.02 B,$7.21 M
Huobi Token,HT,$6.50,$996.7 M,$13.96 M
Pax Dollar,USDP,$0.9999,$945.57 M,$1.63 M
Chiliz,CHZ,$0.1551,$935.86 M,$119.91 M
